hour_of_day,day_of_week,total_trips,avg_fare,avg_distance,total_revenue
0,1,220767,13.86,3.52,4513307.12
0,2,79086,20.13,6.21,2222772.88
0,3,75381,18.98,5.74,2008284.49
0,4,94665,16.04,4.61,2186350.74
0,5,114403,15.25,4.27,2535383.47
0,6,158315,14.93,4.07,3458936.06
0,7,231571,14.08,3.6,4814476.79
1,1,184281,12.94,3.28,3560087.43
1,2,40894,19.02,5.8,1080522.93
1,3,34100,18.48,5.58,876225.65
1,4,44211,15.42,4.43,978367.15
1,5,57586,14.63,4.09,1224870.54
1,6,94068,13.93,3.79,1929638.95
1,7,185586,13.01,3.3,3611833.05
2,1,135355,12.71,3.25,2572745.39
2,2,22705,16.54,4.85,526495.54
2,3,17612,17.2,5.06,419006.92
2,4,22590,14.38,4.01,466461.03
2,5,31037,14.11,3.91,635403.89
2,6,54608,13.67,3.72,1095884.85
2,7,142120,12.68,3.22,2702801.36
3,1,95684,13.34,3.49,1887266.31
3,2,15015,18.57,5.45,385180.27
3,3,10337,19.14,5.64,270787.81
3,4,13226,16.5,4.68,306057.72
3,5,18256,15.83,4.47,410487.65
3,6,31021,14.81,4.07,663733.16
3,7,95858,13.11,3.43,1865378.87
4,1,53376,16.32,4.51,1243003.47
4,2,17277,23.92,7.08,568122.78
4,3,12421,23.16,6.87,395894.75
4,4,14096,21.78,6.44,426797.02
4,5,16925,21.57,6.33,510794.61
4,6,24736,21.04,6.12,733239.67
4,7,50307,15.83,4.38,1141345
5,1,27881,23.12,6.98,886727.38
5,2,32825,22.41,6.75,1022426.99
5,3,31489,19.96,5.94,882648.41
5,4,32403,20.18,6,920333.95
5,5,33533,20.67,6.15,977888.54
5,6,35559,21.96,6.53,1100916.74
5,7,26661,21.71,6.51,803779.03
6,1,40316,22.86,7.05,1254919.5
6,2,87538,17.56,5.07,2160304.47
6,3,96745,15.84,4.46,2177362.49
6,4,98447,15.56,4.34,2190480.45
6,5,97195,15.84,4.44,2203739.97
6,6,86417,17.53,5.02,2148517.34
6,7,44470,20.67,6.27,1268674.9
7,1,60134,19.66,5.9,1637427.35
7,2,162453,15.31,4,3565395.35
7,3,193037,14.11,3.53,3944010.73
7,4,195166,13.86,3.44,3935052.12
7,5,189984,14.05,3.52,3877046.02
7,6,160359,15.02,3.91,3474812.77
7,7,68775,17.33,5.06,1681608.33
8,1,90550,16.87,4.86,2168211.55
8,2,212220,14.61,3.52,4478637.77
8,3,252921,14.01,3.19,5141681.1
8,4,253906,13.9,3.14,5134035
8,5,243424,14.07,3.22,4976277.95
8,6,208626,14.32,3.46,4340769.82
8,7,107606,14.96,4.14,2316114.73
9,1,139312,14.42,3.93,2909902.8
9,2,224367,14.16,3.35,4613550.01
9,3,260581,13.85,3.03,5249139.61
9,4,261162,13.73,2.97,5226647.01
9,5,252258,13.75,3.01,5053530.87
9,6,226560,14.05,3.31,4636182.42
9,7,165196,13.37,3.48,3232374.87
10,1,196694,13.73,3.59,3941656.96
10,2,232389,14.11,3.34,4752193.11
10,3,263718,14.02,3.06,5348638.28
10,4,267752,13.92,3,5402747.5
10,5,260498,13.89,3.02,5246859.96
10,6,244941,14.07,3.25,4998935.63
10,7,217571,12.9,3.2,4126828.25
11,1,234812,13.88,3.53,4764194.98
11,2,244285,14.26,3.38,5048360.38
11,3,272881,14.16,3.05,5580885.43
11,4,280988,14.13,3,5739515.12
11,5,275390,14.3,3.08,5687720.45
11,6,261511,14.39,3.27,5443368.18
11,7,258647,13.02,3.12,4945764.25
12,1,262962,14.58,3.68,5565329.17
12,2,266042,14.49,3.47,5577349.84
12,3,289726,14.29,3.13,5967922.79
12,4,296488,14.46,3.1,6171204.48
12,5,294761,14.56,3.19,6185472.57
12,6,275213,14.8,3.43,5866783.7
12,7,287741,13.57,3.2,5688183.08
13,1,266239,15.33,3.89,5885432.29
13,2,270991,14.7,3.58,5749431.04
13,3,296578,14.55,3.29,6214362.63
13,4,301469,14.91,3.29,6449230.55
13,5,300334,15.01,3.37,6476144.6
13,6,279726,15.28,3.6,6130905.19
13,7,296802,14.16,3.34,6085306.24
14,1,275540,16.02,4.07,6332403.39
14,2,294103,15.14,3.7,6407109.13
14,3,324787,15.02,3.43,6998383.92
14,4,323946,15.31,3.42,7096132.6
14,5,324998,15.62,3.51,7251804.81
14,6,315238,15.75,3.65,7088538.34
14,7,298133,14.63,3.52,6280556.08
15,1,270661,16.49,4.25,6378247.95
15,2,310535,15.26,3.78,6820082.99
15,3,334220,15.14,3.53,7255683.52
15,4,335242,15.4,3.51,7390891.33
15,5,331991,15.89,3.64,7527979.25
15,6,323577,15.94,3.71,7357123.52
15,7,305397,14.85,3.57,6509971.98
16,1,272458,16.17,4.13,6307433.98
16,2,304640,15.2,3.68,7005637.74
16,3,332714,15.05,3.41,7585709.61
16,4,331663,15.42,3.42,7724834.91
16,5,328608,16.02,3.57,7901562.35
16,6,316588,15.85,3.6,7533561.1
16,7,311054,14.79,3.5,6600275.77
17,1,275668,15.63,3.99,6189946.65
17,2,332588,14.11,3.39,7202933.63
17,3,372015,14.14,3.14,8066879.26
17,4,371168,14.52,3.16,8231499.53
17,5,364909,15.03,3.3,8327023.6
17,6,356534,14.52,3.29,7893813.87
17,7,326725,14.43,3.36,6785521.33
18,1,272742,14.84,3.76,5850449.12
18,2,343338,13.13,3.21,7025897.11
18,3,397373,13.15,2.97,8139810.13
18,4,395978,13.38,2.97,8227047.54
18,5,393414,13.88,3.09,8418808.82
18,6,385295,13.4,3.08,7993819.51
18,7,336541,13.87,3.18,6741372.1
19,1,237937,14.93,3.92,5128451.54
19,2,293571,13.21,3.46,6040837.27
19,3,341445,12.89,3.23,6899447.96
19,4,358826,12.98,3.17,7294583.89
19,5,356133,13.35,3.24,7388102.49
19,6,367621,13.16,3.16,7509948.15
19,7,323938,13.67,3.11,6411072.88
20,1,210128,15.2,4.13,4697104.87
20,2,248835,13.97,3.74,5217801.01
20,3,299533,13.29,3.42,6035213.77
20,4,313673,13.34,3.37,6335170.09
20,5,315808,13.55,3.34,6443593.26
20,6,297654,13.59,3.3,6055114.64
20,7,275578,13.7,3.27,5592734.52
21,1,193550,15.63,4.36,4435066.47
21,2,230091,14.47,3.96,4963964.85
21,3,289356,13.81,3.64,6006229.29
21,4,304093,13.72,3.56,6276327.55
21,5,307639,13.81,3.51,6375104.66
21,6,286883,13.7,3.4,5873573.31
21,7,269870,13.74,3.37,5498477.38
22,1,164531,16.98,4.89,4033606.22
22,2,192831,15.54,4.37,4398875.47
22,3,248287,14.6,3.93,5375303.12
22,4,270491,14.43,3.81,5801264.67
22,5,284608,14.47,3.76,6115137.11
22,6,294756,14.02,3.5,6143451.49
22,7,276706,14.01,3.46,5731949.23
23,1,122081,18.65,5.58,3222995.9
23,2,132160,17.34,5.08,3277064.29
23,3,174653,15.59,4.39,3970950.78
23,4,200803,15.18,4.15,4468549.87
23,5,229756,14.88,3.96,5033726.28
23,6,274932,14.33,3.62,5823091.19
23,7,261310,14.3,3.56,5494984.52